DCHP3A,DCHP4A,DCHP4HRT,DCHP4HST,DCHPP3A,DCHPP4A,DCHWRNT,DCHWRT,DCHWSNF,DCHWSNT,DCHWSSF,DCHWSST,DCHWST,DCHWST2,DCRF1HRV,DCRF3HRV,DCHWDPL,DCHWDPS,DCHWP1RT,DCHWP1SP,DCHWP2RT,DCHWP2SP,DCHWSHON,DCHWNHON,DCHWP1SS,DCHWP2SS,DCHWRV,DCHWSNV,DCHWSSV,DCHWSV,DCRF1HSV,DCRF3HSV,DCHWEN,DCHWDP
-0.465,-0.96751,75.143,98.1,2.1825,-0.79501,78.168,99.487,0.062328,81.95,0.12499,81.647,81.028,83.575,0,0,55.249,3,1406.2,0,1110.6,0,71,71,0,0,0,0,0,0,0,0,0,0.90624
-0.465,-0.96751,74.126,97.975,2.1825,-0.79501,78.168,99.487,0.062328,81.95,0.12499,81.647,81.028,83.437,0,0,55.249,3,1406.2,0,1110.6,0,71,71,0,0,0,0,0,0,0,0,0,0.90624
-0.465,-0.96751,74.126,97.85,2.1825,-0.79501,77.165,99.487,0.062328,81.95,0.12499,81.647,81.028,83.337,0,0,55.249,3,1406.2,0,1110.6,0,71,71,0,0,0,0,0,0,0,0,0,0.90624
-0.465,-0.96751,74.126,97.85,2.1825,-0.79501,77.165,99.487,0.062328,81.95,0.12499,81.647,81.028,83.212,0,0,55.249,3,1406.2,0,1110.6,0,71,71,0,0,0,0,0,0,0,0,0,0.90624
-0.465,-0.96751,74.126,97.737,2.1825,-0.79501,77.165,99.487,0.062328,81.95,0.12499,81.647,81.028,83.075,0,0,55.249,3,1406.2,0,1110.6,0,71,71,0,0,0,0,0,0,0,0,0,0.90624
-0.465,-0.96751,74.126,97.737,-0.87001,-0.79501,77.165,101.51,0.062328,81.95,0.54687,81.647,81.028,83.075,0,0,55.249,3,1406.2,0,1110.6,0,71,71,0,0,0,0,0,0,0,0,0,0.90624
-0.465,-0.96751,74.126,95.75,-0.87001,-0.79501,77.165,102.86,0.062328,81.95,0.54687,80.643,81.028,82.95,0,0,55.249,3,1406.2,0,1110.6,0,71,71,0,0,0,0,0,0,0,0,0,0.90624
-0.465,-0.96751,74.126,93.337,-0.87001,-0.79501,77.165,101.85,0.062328,81.95,0.54687,80.643,81.028,82.837,0,0,55.249,3,1406.2,0,1110.6,0,71,71,0,0,0,0,0,0,0,0,0,0.90624
-0.465,-0.96751,74.126,91.575,-0.87001,-0.79501,77.165,100.84,0.062328,81.95,0.54687,80.643,81.028,82.725,0,0,55.249,3,1406.2,0,1110.6,0,71,71,0,0,0,0,0,0,0,0,0,0.90624
-0.465,-0.96751,74.126,90.55,-0.87001,-0.79501,77.165,99.837,0.062328,80.932,0.54687,80.643,81.028,82.612,0,0,55.249,3,1406.2,0,1110.6,0,71,71,0,0,0,0,0,0,0,0,0,0.90624
-0.465,-0.96751,74.126,90.187,-0.87001,-0.79501,77.165,99.837,0.062328,80.932,0.54687,80.643,81.028,82.5,0,0,55.249,3,1406.2,0,1110.6,0,71,71,0,0,0,0,0,0,0,0,0,0.90624
-0.465,-0.96751,94.669,100.77,-0.87001,2.28,77.165,99.837,0.062328,80.932,0.54687,80.643,81.028,82.375,0,0,55.249,3,1406.2,56.085,1110.6,0,71,71,1,0,0,0,0,0,0,0,1,3.6562
-0.465,24.697,93.527,106.49,2.235,2.28,77.165,99.837,0.062328,80.932,0.54687,80.643,80.011,82.262,0,0,52.68,3,1406.2,52.868,1110.6,0,71,71,1,0,0,0,0,0,0,0,1,3.1719
-0.465,-0.8925,100.66,105.95,2.235,2.28,77.165,99.837,0.062328,80.932,0.54687,79.626,80.011,82.137,0,0,52.68,3,1406.2,52.868,1110.6,0,71,71,1,0,0,0,0,0,0,0,1,2.8281
22.942,24.93,104.76,113.64,2.235,2.28,77.165,98.837,0.062328,80.932,0.54687,79.626,80.011,82.137,0,0,53.695,3,1406.2,53.875,1110.6,0,71,71,1,0,0,0,0,0,0,0,1,3.0937
-0.8025,-0.6,118.13,121.84,-0.84,2.28,77.165,98.837,0.062328,80.932,0.54687,79.626,80.011,82.012,0,0,52.694,3,1406.2,0,1110.6,0,71,71,0,0,0,0,0,0,0,0,0,0.98437
-0.8025,25.927,107.83,112.74,-0.84,2.1825,77.165,73.662,0.062328,80.932,18.5,111.49,66.371,113.27,0,0,54.856,3,1406.2,54.953,1110.6,0,71,71,1,0,0,0,1,1,0,0,1,2.625
